comments/0/likesCount,Fecha ,Hora,FullDate,likesCount,text,Negative
,01/11/2023,22:09:15,2023-11-01T22:09:15.000Z,8,"La app nunca funciona. El servicio al cliente por teléfono es inútil, por correo es peor y por la app es una burla. Me arrepiento enormemente haber confiado en HeyBanco. Ojalá hubiera visto comentarios como este antes de haber sacado la cuenta.",Negative
,01/12/2023,17:29:45,2023-12-01T17:29:45.000Z,0,"mal servicio a clientes, ideas tontas como sus membresías y tratan a sus clientes como tontos",Negativo
0,26/10/2023,23:17:30,2023-10-26T23:17:30.000Z,16,"No arriesgues tu dinero, nula atención al cliente. Fallas recurrentes e incertidumbre en las operaciones.",Negative
,31/10/2023,22:50:49,2023-10-31T22:50:49.000Z,11,"HORRIBLE SERVICIO, lo único que hacen es eliminar comentarios con las quejas de sus clientes y su aplicación un asco y ni la vergüenza tienen de dar un comunicado o al menos atender",Negative
,10/11/2023,00:00:39,2023-11-10T00:00:39.000Z,15,Lo recomendaba y hasta lo defendía pero ya no… gran decepción!,Negative
,04/01/2024,19:38:08,2024-01-04T19:38:08.000Z,3,El sistema de membresias es una idea pésima de verdad como puedes pasar de ser una de las mejores opciones del mercado a convertirse en lo que es hoy. Parece que ahora el banco  lo dirige Javi Noble,Negative
,02/11/2023,22:38:30,2023-11-02T22:38:30.000Z,10,"Que lamentable que una empresa tome ese tipo de acciones de censura a sus clientes, ya no recomiendo la aplicación y su servicio de membresía de lo peor",Negative
,01/02/2024,14:45:57,2024-02-01T14:45:57.000Z,1,Al principio era un excelente Neobanco. Ahora es un banco caro y del montón.,Negative
2,21/08/2023,21:08:10,2023-08-21T21:08:10.000Z,9,NO LO RECOMIENDO! Es muy complicado su sistema de validación y sus procesos dentro de la app! No tienen buen servicio de atención al cliente!,Negative
,25/10/2023,19:54:22,2023-10-25T19:54:22.000Z,16,"Pésimo banco, No escucha a sus clientes",Positive
,20/09/2023,05:23:05,2023-09-20T05:23:05.000Z,11,"Es uno de los mejores bancos, tengo nomina y credito y me dan 100% de atencion si tengo problemas uno de los bancos con excelente atencion a clientes y maneja infinidad de creditos para mejorar mis finanzas",Negative
,08/11/2023,19:09:06,2023-11-08T19:09:06.000Z,8,"NO, NO LO RECOMIENDO . Quitaron sus beneficios, ahora sacaron ""membresias"" y cobran lo que era gratis, mala atención al cliente, y ademas borran y no dejan comentar las publicaciones, eso habla de como es este banco, no confien en el.",Negative
,22/11/2023,21:33:10,2023-11-22T21:33:10.000Z,4,"Fueron por mucho tiempo los mejores, pero no se que demonios paso. Ahora que quiero sacar mi dinero de sus cuentas no se puede porque tiene que ser por partes pequeñas nula informacion que no fue brindada nunca y anteriormente se podia...",Negative
0,26/10/2023,23:06:21,2023-10-26T23:06:21.000Z,28,"Eran una buena opción para invertir, los recomendaba cada que podia, me gustaban mucho sus productos, después empezaron a tomar Pésimas decisiones, no pudieron aceptar las criticas, hasta me bloquearon de su cuenta de Twitter. 

Ya liquide mi pagaré y me voy a otro banco! 
Próximamente cancelo la tarjeta de Crédito!",Negativo
