comments/0/likesCount,Fecha ,Hora,FullDate,likesCount,tweet,sentiment
,4/25/2024,22:29:28,2024-04-25T22:29:28.000Z,0,"La app y la tarjeta te sacan de apuros, pero en cuanto a atención es una basura, un martirio contacta a un humano que pueda ayudarte, así como carajos solucionó mis problemas si sus máquinas son limitadas. Basura.",negative
,4/20/2024,1:33:16,2024-04-20T01:33:16.000Z,2,"Tengo 1 mes esperando a que manden un Link para poder entrar a la aplicación, 4 llamadas y un sin fin de correos! TIENEN SECUESTRADO MI DINERO!",negative
0.0,4/12/2024,12:32:56,2024-04-12T12:32:56.000Z,8,a mí me jakearon mi CEL y con mis datos están pidiendo préstamos pinche gente mierda y ratera,negative
1.0,3/27/2024,23:04:17,2024-03-27T23:04:17.000Z,8,Me gustaba este Banco Pero tras que me Robaron mi tarjeta Pedí Reposición de mi tarjeta O sea Cambio de Tarjeta Pero Que Listo me salió el que hizo la tarjeta Hizo Dos Plásticos de seguro este Cliente No se da Cuenta de lo que yo Haga Pero Sorpresa La Aplicación De Su Banco Me Muestra Dos Plásticos O sea Dos Tarjetas de la Casualidad que hablo por teléfono Y Siempre Me Cuelgan Que Poco Profesionales Son Y siempre El Que Tiene la Otra Tarjeta Quiere Comprar en la Madrugada como a las 3:00 am o a las 7:00 en serio Pasa esto Usuarios si tienen tarjetas dejenlas bloqueadas solo las desbloquean cuando vayan a pagar de otra manera Siempre te van a Caer Cargos Sorpresas que no son tuyos Otra persona gasta y tú pagas,negative
0.0,3/25/2024,18:02:44,2024-03-25T18:02:44.000Z,0,"Por favor tengan mucho cuidado, me intentaron robar, mientras me hacían la supuesta validación, les brinde todos mis datos por queré un préstamo, mientras estaban en línea conmigo vi como ""alguien"" entraba a mi app de bbva y creaban destinatarios yo no novia ni un dedo, me dijeron que no tocara nada y mientras tanto yo veía como manipulaban mi equipo celular, hasta que dije esto esta muy raro, se los comente y lo negaron en todo momento, pero el bbva me enviaba los correos con todos los destinatarios que daban de alta con la intención de robarme. 
No es justo como roban a gente decente que se gana el dinero con su trabajo honrado, por favor no caigan como yo.",negative
,3/16/2024,18:45:43,2024-03-16T18:45:43.000Z,5,"El día 29 de agosto de 2023 tuve un glitch con mi banca, mi problema era que había hecho el pago de un servicio por la app y me habia marcado ""error"" cuando lo pagué, luego me apareció el cargo, pero cuando llamaba al Gas Natural me aparecía el adeudo aún. Tras estos eventos llamé a Hey como 15 minutos a las 6:00 y el ejecutivo Victor me atendió, intentó resolver, levantó el reporte y todo terminó bien con el pago de mi servicio. Lamento estar publicando esto tanto tiempo después pero no podía quedarme sin agradecer su atención, puesto que en estos tiempos de tanta tecnología, el buen servicio al cliente es muy necesario. Debido a que el sistema estaba lento, la llamada duró al rededor de 1 hora; sin embargo Victor nunca perdió la paciencia y se mantenía en la línea cominicando el estatus del reporte y atento a cualquier duda, agradezco su esfuerzo y, si sigue trabajando ahí, ojalá éste sea reconocido.

Hasta ahora es el único detalle que he tenido con esta banca y en verdad me han resuelto mucho desde Twitter o por teléfono como en esta ocasión que narro. También me agradan los beneficios de ser Hey Pro y la facilidad con la que se puede invertir.",positive
,2/24/2024,19:06:19,2024-02-24T19:06:19.000Z,6,"BASURAAA NO SAQUES TARJETA AQUI, SE ROBAN TU DINERO Y NO RESPONDEN!
Por eso hasta limitan los comentarios en sus publicaciones, para silenciar a la gente y no queden como ratas asquerosas que son!",negative
,2/22/2024,17:30:37,2024-02-22T17:30:37.000Z,1,"hoy 23 de febrero 2024 llevamos mas de 24 horas sin poder recibir o hacer transferencias.  Es una basura de banco, para negocios no sirve, despues de las 6 pm todas las transferencias son máximo de 8 mil y con tope maximo a 32mil.

su aplicación no sirve entras y te llevas la sorpresa que te muestra saldos en 0.",negative
1.0,2/21/2024,22:54:19,2024-02-21T22:54:19.000Z,1,"No me pagan las ligas de cobro, alegan que “el departamento de retenciones está revisándolo” 

Muy buena iniciativa pero mala ejecución. 

Y ahora quieren todos los datos de el cliente para poder liberar mi dinero.

Si utilizan ligas de cobro DEJEN DE USARLO.",negative
,2/10/2024,5:55:00,2024-02-10T05:55:00.000Z,1,"Lentísimos con las transferencias, y al sacar de cajero resulta que el cajero no da el subiré y tienes que esperar una semana a que te reembolsen tu dinero",negative
